VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-01-01 00:47:29,2019-01-01 01:00:46,1,1.70,1,N,48,163,1,10,0.5,0.5,2.25,0,0.3,13.55,
2,2019-01-01 00:16:45,2019-01-01 00:39:40,1,4.68,1,N,48,113,1,18.5,0.5,0.5,3.96,0,0.3,23.76,
2,2019-01-01 00:40:50,2019-01-01 00:49:28,2,1.03,1,N,113,79,2,7,0.5,0.5,0,0,0.3,8.3,
2,2019-01-01 00:59:42,2019-01-01 01:06:29,1,1.32,1,N,107,170,1,6.5,0.5,0.5,1.95,0,0.3,9.75,
1,2019-01-01 00:26:00,2019-01-01 00:30:11,0,.90,1,N,75,74,1,5,0.5,0.5,1.55,0,0.3,7.85,
1,2019-01-01 00:35:53,2019-01-01 00:46:38,0,2.20,1,N,263,239,1,9.5,0.5,0.5,2.15,0,0.3,12.95,
1,2019-01-01 00:50:17,2019-01-01 01:01:05,0,2.10,1,N,143,236,1,10,0.5,0.5,2.25,0,0.3,13.55,
2,2019-01-01 00:21:25,2019-01-01 00:28:03,1,1.53,1,N,141,237,2,7,0.5,0.5,0,0,0.3,8.3,
2,2019-01-01 00:33:27,2019-01-01 00:36:07,4,.30,1,N,237,161,2,4,0.5,0.5,0,0,0.3,5.3,
2,2019-01-01 00:44:35,2019-01-01 00:47:55,1,.22,1,N,161,162,1,4,0.5,0.5,0,0,0.3,5.3,
2,2019-01-01 00:59:38,2019-01-01 01:09:23,3,1.41,1,N,107,186,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,2019-01-01 00:35:27,2019-01-01 00:44:18,1,1.39,1,N,144,79,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,2019-01-01 00:46:25,2019-01-01 00:55:45,1,1.61,1,N,79,249,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,2019-01-01 00:56:30,2019-01-01 01:11:52,2,2.50,1,N,249,186,1,12,0.5,0.5,2.66,0,0.3,15.96,
1,2019-01-01 00:49:16,2019-01-01 01:06:22,2,4.30,1,N,45,137,2,17,0.5,0.5,0,0,0.3,18.3,
2,2019-01-01 00:32:14,2019-01-01 00:37:48,1,.56,1,N,107,107,2,5,0.5,0.5,0,0,0.3,6.3,
