VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,trip_duration_minutes,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_dayofweek,pickup_is_weekend,avg_speed_mph,cost_per_mile,tip_percentage,time_of_day,is_inter_borough,revenue_per_minute
2,2019-01-01 00:31:34,2019-01-01 00:59:20,2,2.05,1,N,107,48,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,,Manhattan,Gramercy,Yellow Zone,Manhattan,Clinton East,Yellow Zone,27.77,2019,1,1,0,1,0,4.43,10.71,21.53,Night,0,0.79
1,2019-01-01 00:45:20,2019-01-01 01:36:39,3,27.2,2,N,132,13,1,52.0,0.0,0.5,5.0,5.76,0.3,63.56,,Queens,JFK Airport,Airports,Manhattan,Battery Park City,Yellow Zone,51.32,2019,1,1,0,1,0,31.8,2.34,9.62,Night,1,1.24
1,2019-01-01 00:29:27,2019-01-01 00:39:14,2,2.3,1,N,148,170,1,9.5,0.5,0.5,3.2,0.0,0.3,14.0,,Manhattan,Lower East Side,Yellow Zone,Manhattan,Murray Hill,Yellow Zone,9.78,2019,1,1,0,1,0,14.11,6.09,33.68,Night,0,1.43
1,2019-01-01 00:44:57,2019-01-01 01:13:16,1,8.4,1,N,234,129,2,28.0,0.5,0.5,0.0,5.76,0.3,35.06,,Manhattan,Union Sq,Yellow Zone,Queens,Jackson Heights,Boro Zone,28.32,2019,1,1,0,1,0,17.8,4.17,0.0,Night,1,1.24
2,2019-01-01 00:23:09,2019-01-01 01:28:22,1,8.68,1,N,164,79,1,44.5,0.5,0.5,9.16,0.0,0.3,54.96,,Manhattan,Midtown South,Yellow Zone,Manhattan,East Village,Yellow Zone,65.22,2019,1,1,0,1,0,7.99,6.33,20.58,Night,0,0.84
2,2019-01-01 00:16:53,2019-01-01 00:44:39,2,4.46,1,N,234,249,1,20.0,0.5,0.5,0.0,0.0,0.3,21.3,,Manhattan,Union Sq,Yellow Zone,Manhattan,West Village,Yellow Zone,27.77,2019,1,1,0,1,0,9.64,4.78,0.0,Night,0,0.77
2,2019-01-01 00:46:16,2019-01-01 00:51:42,2,0.69,1,N,249,249,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,,Manhattan,West Village,Yellow Zone,Manhattan,West Village,Yellow Zone,5.43,2019,1,1,0,1,0,7.62,10.96,25.2,Night,0,1.39
2,2019-01-01 00:07:49,2019-01-01 00:15:42,5,1.85,1,N,236,239,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone,7.88,2019,1,1,0,1,0,14.09,6.03,23.25,Night,0,1.42
2,2019-01-01 00:18:22,2019-01-01 00:54:54,5,5.68,1,N,239,79,1,27.0,0.5,0.5,7.08,0.0,0.3,35.38,,Manhattan,Upper West Side South,Yellow Zone,Manhattan,East Village,Yellow Zone,36.53,2019,1,1,0,1,0,9.33,6.23,26.22,Night,0,0.97
2,2019-01-01 00:56:41,2019-01-01 01:05:59,5,2.03,1,N,79,261,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,Manhattan,East Village,Yellow Zone,Manhattan,World Trade Center,Yellow Zone,9.3,2019,1,1,0,1,0,13.1,5.07,0.0,Night,0,1.11
1,2019-01-01 00:31:12,2019-01-01 00:43:27,1,1.1,1,N,234,107,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,Manhattan,Union Sq,Yellow Zone,Manhattan,Gramercy,Yellow Zone,12.25,2019,1,1,0,1,0,5.39,9.36,0.0,Night,0,0.84
1,2019-01-01 00:56:27,2019-01-01 01:16:14,1,5.2,1,N,264,74,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8,,Unknown,,,Manhattan,East Harlem North,Boro Zone,19.78,2019,1,1,0,1,0,15.77,3.62,0.0,Night,1,0.95
2,2019-01-01 00:06:08,2019-01-01 00:14:45,1,0.95,1,N,161,43,1,7.0,0.5,0.5,2.49,0.0,0.3,10.79,,Manhattan,Midtown Center,Yellow Zone,Manhattan,Central Park,Yellow Zone,8.62,2019,1,1,0,1,0,6.61,11.36,35.57,Night,0,1.25
2,2019-01-01 00:16:00,2019-01-01 00:23:09,1,1.98,1,N,163,263,1,7.5,0.5,0.5,2.0,0.0,0.3,10.8,,Manhattan,Midtown North,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,7.15,2019,1,1,0,1,0,16.62,5.45,26.67,Night,0,1.51
2,2019-01-01 00:24:30,2019-01-01 00:27:58,1,1.3,1,N,262,75,1,5.5,0.5,0.5,0.2,0.0,0.3,7.0,,Manhattan,Yorkville East,Yellow Zone,Manhattan,East Harlem South,Boro Zone,3.47,2019,1,1,0,1,0,22.48,5.38,3.64,Night,0,2.02
2,2019-01-01 00:34:33,2019-01-01 00:38:23,1,0.88,1,N,263,263,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,Manhattan,Yorkville West,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,3.83,2019,1,1,0,1,0,13.79,7.16,0.0,Night,0,1.64
2,2019-01-01 00:40:14,2019-01-01 00:53:00,1,2.41,1,N,263,143,1,11.0,0.5,0.5,4.0,0.0,0.3,16.3,,Manhattan,Yorkville West,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone,12.77,2019,1,1,0,1,0,11.32,6.76,36.36,Night,0,1.28
2,2019-01-01 00:53:41,2019-01-01 01:25:04,1,7.53,1,N,143,173,2,26.5,0.5,0.5,0.0,0.0,0.3,27.8,,Manhattan,Lincoln Square West,Yellow Zone,Queens,North Corona,Boro Zone,31.38,2019,1,1,0,1,0,14.4,3.69,0.0,Night,1,0.89
